tipo_credito,capital_prestado,plazo_meses,edad_cliente,tipo_laboral,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje,puntaje_datacredito,cant_creditosvigentes,huella_consulta,saldo_mora,saldo_total,saldo_principal,saldo_mora_codeudor,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,tendencia_ingresos,Pago_atiempo,año_prestamo,mes_prestamo,dia_prestamo,dia_semana
7,3692160.0,10,42,0,1.7386418008434499,1.0,341296,88.768094,695.0,10,5,0.0,51258.0,51258.0,0.0,5,0,0,908526.0,Estable,1,2024,12,21,5
4,840000.0,6,60,1,0.0,0.6666666666666666,124876,95.227787,789.0,3,1,0.0,8673.0,8673.0,0.0,0,0,2,939017.0,Creciente,1,2025,4,22,1
9,5974028.399999999,10,36,0,0.3602465811347628,-0.114,529554,47.613894,740.0,4,5,0.0,18702.0,18702.0,0.0,3,0,0,1204496.0,Desconocido,0,2026,1,8,3
4,1671240.0,6,48,1,-0.5130568521959742,-0.33466666666666667,252420,95.227787,837.0,4,4,0.0,15782.0,15782.0,0.0,3,0,0,1536193.0,Creciente,1,2025,8,4,0
9,2781636.0,11,44,1,0.6954567203373799,2.0,217037,95.227787,771.0,4,6,0.0,204804.0,204804.0,0.0,3,0,1,933473.0,Creciente,1,2025,4,26,5
4,1031928.0,12,32,1,-0.069545672033738,-0.13333333333333333,82872,95.227787,721.0,10,13,0.0,24399.0,24399.0,0.0,2,0,8,2808474.0,Creciente,1,2025,6,10,1
4,3064280.4,6,68,0,-0.6954567203373799,14.003333333333334,461231,95.227787,814.0,11,8,0.0,211775.0,211775.0,0.0,6,3,0,969508.0,Creciente,1,2025,8,9,5
4,3619560.0,6,31,1,0.2720289393450467,-0.4633333333333333,542079,95.227787,760.0,1,5,0.0,12078.0,12078.0,0.0,0,1,0,3782303.0,Creciente,1,2025,8,18,0
9,2134827.6,10,31,1,3.998876141939935,4.666666666666667,181732,95.227787,737.0,0,2,0.0,0.0,14442.5,0.0,0,0,0,14007850.0,Creciente,1,2025,5,30,4
4,8400000.0,6,45,1,3.82501196185559,2.6666666666666665,1166667,95.227787,752.0,4,3,0.0,125383.0,125383.0,0.0,2,0,0,28889623.0,Creciente,1,2024,12,31,1
9,1269000.0,3,61,0,0.6954567203373799,0.6666666666666666,336766,95.227787,708.0,11,15,0.0,178727.0,157581.0,0.0,5,2,3,1204496.0,Desconocido,1,2025,3,21,4
4,2236561.1999999997,12,58,1,-0.069545672033738,-0.4,175932,95.227787,754.0,10,2,0.0,56437.0,56437.0,0.0,5,0,3,3922859.0,Creciente,1,2025,3,25,1
4,4284000.0,8,66,0,1.7386418008434499,0.9333333333333333,486710,95.227787,809.0,5,4,0.0,34874.0,34874.0,0.0,3,0,1,916148.0,Creciente,1,2025,3,15,5
4,2969520.0,12,61,0,0.34772836016868997,0.3333333333333333,232992,95.227787,858.0,5,2,0.0,67246.0,56774.0,0.0,3,0,1,1204496.0,Desconocido,1,2024,12,17,1
4,1798440.0,12,52,1,-0.417274032202428,-0.6,140941,95.227787,795.0,4,2,0.0,11296.0,11296.0,0.0,3,0,1,1765398.0,Creciente,1,2025,1,1,2
4,2760000.0,12,43,0,-0.17386418008434498,-0.13333333333333333,216838,95.227787,861.0,3,0,0.0,30260.0,30260.0,0.0,1,2,0,1204496.0,Desconocido,1,2025,2,23,6
4,4344000.0,6,43,0,5.91138212286773,6.0,645827,95.227787,838.0,5,1,0.0,4223.0,4223.0,0.0,2,1,1,1000000.0,Estable,1,2025,4,4,4
4,1131900.0,6,34,1,-0.5215925402530349,-0.3466666666666667,168281,95.227787,847.0,2,3,0.0,35.0,35.0,0.0,1,0,0,959344.0,Creciente,1,2025,6,9,0
4,1200000.0,6,68,1,0.34772836016868997,1.0,178476,49.161959,766.0,4,3,0.0,7506.0,7506.0,0.0,1,0,0,1204496.0,Desconocido,0,2025,6,15,6
4,3360000.0,6,50,0,0.20168244889784018,0.10333333333333333,505742,95.227787,922.0,5,4,0.0,41186.0,41186.0,0.0,4,1,0,969508.0,Creciente,1,2025,8,14,3
4,2672400.0,12,42,0,1.0431850805060698,0.6666666666666666,209955,95.227787,798.0,6,1,0.0,29601.0,29601.0,0.0,4,0,0,1204496.0,Desconocido,1,2025,2,15,5
9,878880.0,5,49,0,0.6954567203373799,0.6666666666666666,142664,95.227787,820.0,13,12,0.0,36418.0,18861.0,0.0,6,0,4,941789.0,Creciente,1,2025,4,30,2
9,878880.0,11,45,0,0.6954567203373799,0.6666666666666666,68496,95.227787,732.0,9,13,0.0,41386.0,41386.0,0.0,3,1,4,925157.0,Creciente,1,2025,3,26,2
9,1269000.0,3,46,1,0.6954567203373799,0.6666666666666666,337095,95.227787,811.0,5,6,0.0,54767.0,54767.0,0.0,1,0,2,32826.0,Creciente,1,2025,6,15,6
4,7200000.0,12,60,0,3.1295552415182097,1.3333333333333333,570791,95.227787,781.0,4,4,0.0,73341.0,73341.0,0.0,2,0,2,950105.0,Creciente,1,2025,6,20,4
9,821208.0,2,61,0,0.6954567203373799,0.6666666666666666,323844,46.387527,853.0,7,3,0.0,29344.0,29344.0,0.0,5,0,1,66667.0,Estable,0,2025,4,5,5
4,3191760.0,6,62,0,1.7386418008434499,2.0,472442,-4.158836,810.0,15,4,0.0,311060.0,311060.0,0.0,6,0,5,1204496.0,Desconocido,0,2024,11,28,3
9,1604400.0,5,56,0,0.6954567203373799,0.6666666666666666,260433,40.818275,797.0,6,7,0.0,57902.0,55711.0,0.0,3,1,2,933473.0,Creciente,0,2025,5,11,6
4,1650000.0,12,44,0,-0.556365376269904,-0.2,129621,95.227787,868.0,8,3,0.0,5201.0,5201.0,0.0,2,1,0,1204496.0,Creciente,1,2025,2,20,3
4,1749600.0,6,50,0,0.34772836016868997,0.3333333333333333,260027,-11.093652,784.0,4,2,0.0,14981.0,14981.0,0.0,2,0,0,1204496.0,Desconocido,0,2025,4,9,2
9,1269000.0,5,40,0,0.6954567203373799,0.6666666666666666,205990,95.227787,749.0,6,7,0.0,28101.0,28101.0,0.0,3,0,3,1204496.0,Desconocido,1,2025,4,26,5
4,4944000.0,6,51,0,9.38866572455463,6.0,732474,95.227787,863.0,9,12,0.0,228980.0,228980.0,0.0,7,0,1,2345454.0,Creciente,1,2025,1,4,5
4,1029024.0,6,63,0,1.867301294105865,-0.3406666666666667,154111,89.2295,872.0,5,8,0.0,44108.0,44108.0,0.0,3,0,0,1204496.0,Desconocido,1,2025,8,12,1
4,1200000.0,6,57,1,0.0,0.0,166667,95.227787,780.0,1,2,0.0,141.0,141.0,0.0,0,0,0,6703319.0,Creciente,1,2025,1,21,1
